1000, 0.41, -12.493, 12.427, 2.84, 2.43, 0.035, 0.007
2000, 0.59, -8.688, 12.212, 3.36, 1.95, 0.035, 0.006
3000, 0.61, -7.999, 12.053, 3.22, 1.74, 0.035, 0.006
4000, 0.61, -7.870, 12.152, 3.10, 1.61, 0.035, 0.006
5000, 0.61, -7.948, 12.135, 3.10, 1.77, 0.035, 0.005
6000, 0.63, -7.218, 12.106, 3.02, 1.58, 0.035, 0.005
7000, 0.64, -7.053, 11.886, 3.05, 1.64, 0.035, 0.005
8000, 0.64, -6.941, 11.995, 3.04, 1.61, 0.035, 0.005
9000, 0.61, -7.741, 12.178, 2.99, 1.56, 0.035, 0.005
10000, 0.62, -7.507, 12.102, 2.98, 1.65, 0.035, 0.005
11000, 0.62, -7.427, 12.047, 2.93, 1.44, 0.035, 0.004
12000, 0.61, -7.829, 12.170, 2.98, 1.52, 0.035, 0.004
13000, 0.62, -7.550, 12.081, 2.98, 1.53, 0.035, 0.004
14000, 0.62, -7.426, 12.058, 3.03, 1.59, 0.035, 0.004
15000, 0.65, -6.890, 11.910, 3.02, 1.58, 0.035, 0.004
16000, 0.62, -7.551, 12.061, 3.03, 1.54, 0.035, 0.004
17000, 0.64, -7.209, 12.039, 3.18, 1.80, 0.035, 0.004
18000, 0.64, -7.115, 11.893, 3.06, 1.65, 0.035, 0.004
19000, 0.66, -6.589, 11.766, 3.09, 1.66, 0.035, 0.004
20000, 0.63, -7.429, 12.016, 3.08, 1.59, 0.035, 0.004
21000, 0.62, -7.485, 12.037, 3.11, 1.60, 0.035, 0.004
22000, 0.62, -7.707, 12.036, 3.16, 1.75, 0.035, 0.004
23000, 0.65, -6.863, 11.905, 3.11, 1.62, 0.035, 0.004
24000, 0.63, -7.508, 12.107, 3.18, 1.75, 0.035, 0.004
25000, 0.63, -7.327, 11.980, 3.05, 1.59, 0.035, 0.004
26000, 0.62, -7.489, 12.110, 3.09, 1.64, 0.035, 0.004
27000, 0.61, -7.887, 12.097, 3.06, 1.67, 0.035, 0.004
28000, 0.62, -7.551, 12.112, 3.08, 1.56, 0.035, 0.004
29000, 0.65, -6.831, 11.887, 3.11, 1.65, 0.035, 0.004
30000, 0.58, -8.524, 12.280, 3.00, 1.57, 0.035, 0.004
31000, 0.61, -7.731, 12.121, 3.01, 1.67, 0.035, 0.004
32000, 0.62, -7.675, 12.052, 3.08, 1.69, 0.035, 0.004
33000, 0.61, -7.755, 12.145, 3.00, 1.55, 0.035, 0.004
34000, 0.63, -7.294, 12.027, 3.07, 1.55, 0.035, 0.004
35000, 0.63, -7.422, 12.019, 3.12, 1.65, 0.035, 0.004
36000, 0.61, -7.850, 12.072, 3.23, 1.79, 0.035, 0.004
37000, 0.62, -7.683, 12.047, 3.13, 1.74, 0.035, 0.004
38000, 0.62, -7.623, 11.989, 3.07, 1.62, 0.035, 0.004
39000, 0.61, -7.722, 12.055, 3.05, 1.63, 0.035, 0.004
40000, 0.68, -6.188, 11.671, 3.16, 1.78, 0.035, 0.004
41000, 0.64, -7.166, 11.939, 3.24, 1.83, 0.035, 0.004
42000, 0.62, -7.698, 12.215, 3.15, 1.75, 0.035, 0.004
43000, 0.62, -7.566, 11.993, 3.04, 1.60, 0.035, 0.004
44000, 0.62, -7.623, 12.080, 3.07, 1.60, 0.035, 0.004
45000, 0.66, -6.563, 11.746, 3.09, 1.61, 0.035, 0.004
46000, 0.63, -7.225, 11.996, 3.02, 1.65, 0.035, 0.004
47000, 0.60, -8.005, 12.126, 3.13, 1.66, 0.035, 0.004
48000, 0.61, -7.923, 12.152, 3.15, 1.73, 0.035, 0.004
49000, 0.61, -7.795, 12.121, 3.15, 1.67, 0.035, 0.004
50000, 0.62, -7.431, 12.092, 3.01, 1.66, 0.035, 0.004
