2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.672, 0.016
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.708, 0.053
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.683, 0.027
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.721, 0.058
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.664, 0.039
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.703, 0.064
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.617, 0.055
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.661, 0.077
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.633, 0.039
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.661, 0.051
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.619, 0.035
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.650, 0.053
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.656, 0.000
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.703, 0.066
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.622, 0.043
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.649, 0.052
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.615, 0.045
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.654, 0.066
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.654, 0.003
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.706, 0.073
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.637, 0.037
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.665, 0.050
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.699, 0.152
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.773, 0.163
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.836, 0.039
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.901, 0.097
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.817, 0.051
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.873, 0.089
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.836, 0.055
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.891, 0.089
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.832, 0.051
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.883, 0.083
2, 2.00, 3.500, 0.500, 1.50, 0.50, 0.852, 0.054
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.911, 0.096
2, 0.00, -22.000, 1.000, 2.00, 1.00, 1.005, 0.151
3, 0.00, -21.000, 0.000, 1.00, 0.00, 1.014, 0.124
2, 1.00, -8.500, 12.500, 1.00, 0.00, 1.062, 0.046
3, 0.00, -21.000, 0.000, 1.00, 0.00, 1.047, 0.044
2, 1.00, -8.500, 12.500, 1.00, 0.00, 0.852, 0.055
3, 0.00, -22.000, 0.000, 2.00, 0.00, 0.857, 0.045
2, 0.00, -21.500, 0.500, 1.50, 0.50, 1.082, 0.137
3, 0.00, -21.000, 0.000, 1.00, 0.00, 1.060, 0.116
2, 1.00, -8.500, 12.500, 1.00, 0.00, 0.906, 0.047
3, 0.00, -22.000, 0.000, 2.00, 0.00, 0.906, 0.038
2, 1.00, -8.500, 12.500, 1.00, 0.00, 0.836, 0.054
3, 0.00, -22.000, 0.000, 2.00, 0.00, 0.849, 0.048
2, 1.00, -8.500, 12.500, 1.00, 0.00, 0.859, 0.062
3, 0.00, -22.000, 0.000, 2.00, 0.00, 0.864, 0.051
2, 0.00, -21.500, 0.500, 1.50, 0.50, 0.949, 0.129
3, 0.00, -21.000, 0.000, 1.00, 0.00, 0.966, 0.108
2, 2.00, 4.000, 0.000, 1.00, 0.00, 1.094, 0.110
3, 0.00, -21.000, 0.000, 1.00, 0.00, 1.057, 0.103
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.752, 0.005
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.779, 0.038
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.756, 0.004
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.782, 0.036
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.746, 0.007
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.787, 0.058
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.764, 0.012
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.789, 0.036
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.752, 0.023
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.753, 0.018
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.800, 0.028
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.814, 0.031
2, 2.00, 1.000, 1.000, 4.00, 1.00, 0.858, 0.058
3, 1.00, -1.000, 0.000, 6.00, 0.00, 0.833, 0.060
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.647, 0.114
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.626, 0.098
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.560, 0.013
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.566, 0.014
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.510, 0.002
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.533, 0.032
2, 1.00, -16.000, 15.000, 8.50, 2.50, 0.543, 0.007
3, 1.00, 2.000, 0.000, 3.00, 0.00, 0.534, 0.014
